id,content,label
1223697940247609346,Did Bill Gates &amp; World Economic Forum Predict Coronavirus Outbreak? An I... https://t.co/skFU6fOACe via @YouTube,fake
1220941284896014336,RT @PascaleAllotey: Stay informed with updates from @WHO https://t.co/IFWcXXghsw and @CDCgov https://t.co/gwOduS3Ypl,real
1272293860425658368,RT @listenshahid: Prevention is the only cure for now. Here's why Mask/Face-Covering mandatory to avoid air-borne #COVID19 transmission 👇.…,fake
1234071862260457473,"RT @YahooNews: TRUMP: “We are rapidly developing a vaccine. ... The vaccine is coming along well, and in speaking to the doctors, we think…",fake
1259468230055407618,Get the latest updates about #COVID19 on our website: https://t.co/TVJ3KHe88o #covid19MA https://t.co/9cntYI85cs,real
1256282438029934593,RT @GovernorVA: I'm giving an update on Virginia's #COVID19 response at 2:00 PM. WATCH LIVE: https://t.co/QJygxjc43s,real
1263430377416404992,"Every US state is in some stage of reopening. But the Covid-19 data that underpins decisions about what to open, and how to do it, is all over the place | Analysis https://t.co/KNlyv2j75Z https://t.co/NSFkvncXjO",real
1270226662588702720,"RT @EmmasBugsBunny: I'll give George Floyd one thing, he did cure the Coronavirus",fake
1224002990375239680,"RT @PoojaSindhwani: #NoMeat_NoCoronaVirus
True worship cures diseases like AIDS or cancer. By the way, to avoid the corona virus, true wors…",fake
1264122648163835904,"We’ve published new guidance for people providing care in a person’s home.

Tap below to read more 🔽
https://t.co/T8sMC5BM5u

#socialcare #coronavirus #COVID19",real
1244722110750171136,Having spaces between ur letters doesn’t make u immune to the Coronavirus,fake
1237825718966345728,And I thought CNN was being ahead of themselves when they declared it a pandemic days ago. Thanks for catching up WHO https://t.co/hU4PlzTalN,real
1245406072434720770,"""We recommend #handwashing &amp; physical distancing, but we recognize this can be a practical challenge for those who lack access to clean 💧, or who live in cramped conditions""-@DrTedros #COVID19 #coronavirus",real
1237697917843988480,"As pressure for coronavirus vaccine mounts, scientists debate risks of accelerated testing https://t.co/uqhSlbNOgO https://t.co/mFhwrhQQMg",fake
1223417023570403328,RT @ricky_bmw: Cocaine kills the corona virus ...... 🙂,fake
1243548750003535874,"@C_3C_3 @Sundncefn The world &amp; US has been played by China, Gates, Soros, WHO Dr Tedros, NIH Dr Fauci. Follow the money. Que the videotapes. All benefactors of the lies &amp; hysteria created by this contagion.

Goal is forced vaccinations,  depopulation, government dependency of the populace.",fake
1223198979241824257,"RT @johnlane35: @AStrongerOZ @AnnastaciaMP @sunriseon7 Hey! Why don't we cure coronavirus? perhaps if we stopped exporting coal, stopped Gr…",fake
1237423321567784966,RT @FirstSquawk: VACCINE READY FOR TEST: A GROUP OF TEXAS SCIENTISTS CLAIMS TO HAVE CREATED A VACCINE TO PREVENT THE CORONAVIRUS AND IT COU…,fake
1263856877416439808,RT @HHSGov: Fear and #anxiety about #COVID19 can be overwhelming. Take care of your mental wellness by unplugging occasionally. Find more t…,real
1248551295784562689,"""A Shift on the Front Line,"" a new Perspective article by @SilCastelletti, now online. #COVID19",real
1222904850477977600,How fast can biotech come up with a vaccine for the latest outbreak? https://t.co/qw4z976scs,fake
1248006454612721666,"America's legacy of white supremacy has marginalized Black communities with redlining, segregation, poverty, and lack of access. Combating the history of abuse and mistrust is key to surviving the COVID-19 pandemic. 
W/ Dr. Ron Daniels of @IBW21st https://t.co/Fa0abhwLn7",real
1244330995551293441,How long can coronaviruses -- the family of viruses that includes the one that causes COVID-19 -- live on surfaces? This guide breaks down what we know: https://t.co/XuRLoqpqsY https://t.co/a6fBNLp8yZ,real
1235253349093715972,RT @SharylAttkisson: I defer to https://t.co/2E8ilK708i but this is the clearest explanation I've seen given to the public about how scient…,real
1234888847395184640,"I have found over time , 12 years of taking Zinc Mineral tablets has prevented me from colds in the worst environments. https://t.co/ONJNBZ2MRu",real
1270342325101899782,I hope no one was sick...spreading their germs...it really defies the Coronavirus warnings https://t.co/BZNKPmiPSD,fake
1273778566988251136,"RT @PeterHotez: The new antiscience: In 2019 #antivax targeted the Orthodox Jewish Community in NY by comparing vaccines to the Holocaust,…",fake
1254347604441403392,A viral post on social media shows a swarm of dead bodies being captured and allegedly stating that countries with large number of COVID-19 cases are euthanising elderly patients. The image is as follows: Facebook The post was initially shared on April 1… https://t.co/kldLFd5j4q,real
1253629831691919360,"RT @Chandan58568931: Avoidance is the cure;

 We don't have to worry about Corona,

 #FeverDetectionCamera
 #FeverDetectionCameraThermal
 #…",fake
1224605879552618497,"RT DHSCgovuk: Today we've pledged £20 million to develop new vaccines for #coronavirus and future infectious diseases.

Health Secretary MattHancock has announced the UK will ramp up efforts to fund ground-breaking research into vaccines, diagnostics and… https://t.co/Zj5XTlw0PX",fake
1224019796313899010,"@Kag2020Lou REPUBLISHED! READ IT BEFORE THEY CENSOR IT AGAIN! Coronavirus Exposed: Communist Coverup, or Pandemic Bioweapon of Mass Destruction? by @realAdrianBond #Q #Qanon #WMD #GreatAwakening #Coronavirus #Wuhan #Bioweapon #Vaccine #Pandemic

https://t.co/GYAXfHjyTO",fake
1224464468865798146,"Via @DiscoverMag: SARS Vaccine Could Be Stopgap Measure Against the New Coronavirus, Study Suggests https://t.co/3rwbWWMsao https://t.co/cL8WyrJzCq",fake
1224316282650157057,@mcspocky I think you all are missing the joke here. It would appear that they are saying that if you become infected with the Corona virus just kill yourself to avoid infecting others. I'm sure they think they are being clever. I'm also sure they are oblivious to their own sociopathy.,fake
1234071860700205056,@MonaforTrump202 @mj_software @JakeGrafton4 @IlhanMN Hahaha right owning the Libs will make you immune to Corona virus! But this time it's you Trumpys yourselves who are the sinners for embracing the blustering political incompetence and intentional scientific ignorance that allows epidemics to take hold.,fake
1224887613938470912,RT @SJosephBurns: Was the Coronavirus cured? https://t.co/UN23c5dMSN,fake
1255488800358309893,RT @CPHO_Canada: 10/10 When to relax/adjust #publichealth measures will vary based on local context &amp; #COVID19 #epidemiology Relaxing contr…,real
1222346403482980352,"RT @Nwi_Realtor: @DawsonSField @Knowita47918362
@JarradKushner

Wow guys look at this!!!!!!
https://t.co/yi5yxQvU5v",real
1273769186603470848,"VACCINES - sterilize &amp; change DNA
https://t.co/10TMLwQ55V

VACCINES HAVE CANCER CELLS
https://t.co/7kK7smZ5xy

EVENT 201:
https://t.co/GjQ2MTNwCo

BILL GATES PARTNERS WITH DARPA
https://t.co/QkggjDI3Ie",fake
1257321266953940992,RT @DrTedros: Thank you Stefan Löfven @SwedishPM for 🇸🇪's pledge of €17.5M+ to the global #COVID19 response. Only together can we stop this…,real
1244836310000549893,"RT @JoinTravisAllen: THE CURE IS HERE - but the MEDIA WON'T TELL YOU YET

Hydroxychloroquine and Azithromycin work to CURE CORONAVIRUS in 9…",fake
1223800900415827968,"""How #Viral #Pandemics like #coronavirus benefit #Globalist""
Global pandemic, whether natural event or deliberately engineered, actually serves purposes of globalist. First its a distraction but most become so afraid they'll give up #freedom for a #Vaccine
https://t.co/hvl6a3F9Ft",fake
1260238964071575555,"If you would like to volunteer during the COVID-19 public health emergency, the Commonwealth is seeking people from both medical and non-medical professions. Sign up here: https://t.co/Sb9IkaehK6 #covid19MA https://t.co/TjyUnbqKak",real
1223427161459167232,"@zubair_nazim Nothing wrong eating garlic, it's good for u. But spreading info that it can cure coronavirus is false. Not all Chinese medicine works, just like other world herbal remedies. Cannot mind my business when false info u put out there can misinform someone. Pls be an adult about this",fake
1221272416002945029,"@IntelCrab With SARS the serological test became available after the outbreak was contained and then it turned out the spread of SARS-CoV infection in the general community had been minimal. 

In other words: there never was a pandamic. Just flu mistaken for SARS.

https://t.co/KBCc6Ets81",fake
1243462666322132993,RT @BeachMilk: Bill Gates wants to capitalise on the Chinese #Coronavirus pandemic by proposing that vaccines now contain nano-chips that w…,fake
1270343128344662021,"RT @KateShemirani: BLM! This vaccine, not safety tested, goes into your genetic material and changes you forever! It’s a kill shot. They wa…",fake
1252922601493524481,"A viral video falsely claims to show the Islamic call to prayer being heard in #Spain during the #COVID19 epidemic for the first time in 500 years. There has been no ban on the Islamic call to prayer in Spain in recent times. #FakeNews #coronavirus
https://t.co/Pet1L1l7CL",real
1234151307788869633,RT @MongoAggression: #preppers when they release the mandatory miraculous #coronavirus vaccine that has been totally proven safe after 2 so…,fake
1245142974196928512,"Many have contacted us today about our #COVID19 numbers not being updated. Pls know, we are committed to data transparency. We aim to get numbers posted daily and on time, but have had many recent challenges. We are working diligently toward that goal.
https://t.co/NewnRib1ap",real
1249372179235512320,"#COVID19 key concerns in 🇨🇦: in lieu of a daily in-person update to the media, I have issued the a CPHO statement today on #COVID19 in Canada: https://t.co/lKvKpD9XF8 https://t.co/7KLPguRPYW",real
1262752838003773440,RT @ASTHO: .@MassDPH has distributed an experimental #COVID19 drug to nearly 40 hospitals around the state. More via @commonhealth: https:/…,real
1232381003446079488,@WilliamSilaghi @WilliamSilaghi The number and county of residence of persons meeting the criteria for PUIs is not necessarily reflective of a risk of COVID-19 for Alabama residents.,real
1224367744931573760,RT @spicerack2011: @SenTomCotton @TheLancet U.S. Senator Tom Cotton nearly implied that the Coronavirus is likely an engineered bioweapon c…,fake
1236742009026760704,RT @slashdot: Bill &amp;amp; Melinda Gates Foundation Promises Home-Testing Kits for Coronavirus https://t.co/zMfYvbSabu,fake
1224833966152278016,"@next_china 

https://t.co/q3msIDuWO4

The Chinese government should drop blister-packed Tamiflu &amp; Kaletra (or generic) tablets from drones / helicopters onto the quarantined city streets [with drug interaction warnings].

#Wuhan #nCoV #WuhanPneumonia #coronavirus",fake
1223890927241973760,"RT @DassSanat: #NoMeat_NoCoronaVirus
Sat bhakti cures diseases like AIDS or cancer. By the way, to avoid the corona virus, satbhakti is nec…",fake
1249576609553809409,NIH team facilitated the sample collection and testing procedure of COVID-19 for cabin &amp; crew and passengers staying at different hotels (quarantine centers)  in Islamabad. https://t.co/0V8F8ABG6p,real
1221693552515678209,"RT @WHO: Q: What can I do to protect myself from #coronavirus?

A: https://t.co/PKzKaO2yfK https://t.co/eNhlhR0PEq",real
