Article_ID,Article_Rating_Approach,Credibility_Assessment_Type,Article_Topic,Article_Publication_Date,Article_URL
2136,1,CREDIBLE_INFORMATION,UKRAINE_WAR_AND_REFUGEES,2024-05-25,https://www.bbc.com/news/articles/cg33y9eedz7o
2136,2,CREDIBLE_INFORMATION,UKRAINE_WAR_AND_REFUGEES,2024-05-25,https://www.bbc.com/news/articles/cg33y9eedz7o
2136,3,CREDIBLE_INFORMATION,UKRAINE_WAR_AND_REFUGEES,2024-05-25,https://www.bbc.com/news/articles/cg33y9eedz7o
2138,1,CREDIBLE_INFORMATION,UKRAINE_WAR_AND_REFUGEES,2024-04-26,https://observers.france24.com/en/europe/20240426-russian-embassy-shares-disinformation-on-alleged-atrocities-by-foreign-mercenaries-in-ukraine
2138,2,CREDIBLE_INFORMATION,UKRAINE_WAR_AND_REFUGEES,2024-04-26,https://observers.france24.com/en/europe/20240426-russian-embassy-shares-disinformation-on-alleged-atrocities-by-foreign-mercenaries-in-ukraine
2138,3,CREDIBLE_INFORMATION,UKRAINE_WAR_AND_REFUGEES,2024-04-26,https://observers.france24.com/en/europe/20240426-russian-embassy-shares-disinformation-on-alleged-atrocities-by-foreign-mercenaries-in-ukraine
2139,2,DISINFORMATION,UKRAINE_WAR_AND_REFUGEES,2024-02-26,https://expose-news.com/2024/02/26/bombshell-nyt-report-confirms-cia-built-12-secret-spy-bases-in-ukraine-waged-shadow-war-for-last-decade/
2139,1,CREDIBLE_INFORMATION,UKRAINE_WAR_AND_REFUGEES,2024-02-26,https://expose-news.com/2024/02/26/bombshell-nyt-report-confirms-cia-built-12-secret-spy-bases-in-ukraine-waged-shadow-war-for-last-decade/
2139,3,DISINFORMATION,UKRAINE_WAR_AND_REFUGEES,2024-02-26,https://expose-news.com/2024/02/26/bombshell-nyt-report-confirms-cia-built-12-secret-spy-bases-in-ukraine-waged-shadow-war-for-last-decade/
2146,1,DISINFORMATION,UKRAINE_WAR_AND_REFUGEES,2023-07-03,https://expose-news.com/2023/07/03/us-officials-benefitting-from-ukraine-war/
2146,3,DISINFORMATION,UKRAINE_WAR_AND_REFUGEES,2023-07-03,https://expose-news.com/2023/07/03/us-officials-benefitting-from-ukraine-war/
2146,2,DISINFORMATION,UKRAINE_WAR_AND_REFUGEES,2023-07-03,https://expose-news.com/2023/07/03/us-officials-benefitting-from-ukraine-war/
